60%-1,,60%-2,,60%-3,,80%-1,,80%-2,,80%-3,,100%-1,,100%-2,,100%-3,,
波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,
799.9841309,0.569380939,799.9841309,0.56900388,799.9841309,0.4804223478,799.9841309,0.7307938933,799.9841309,0.7878326178,799.9841309,0.7987194657,799.9841309,0.8362585902,799.9841309,0.871281445,799.9841309,0.8924815655,
799.0136719,0.5705083609,799.0136719,0.57078439,799.0136719,0.4819351137,799.0136719,0.7291027308,799.0136719,0.7890398502,799.0136719,0.7972356081,799.0136719,0.8338922858,799.0136719,0.8664005399,799.0136719,0.8896368742,
798.0082397,0.5687873363,798.0082397,0.570094049,798.0082397,0.4831779599,798.0082397,0.7327979207,798.0082397,0.7872136831,798.0082397,0.7921964526,798.0082397,0.8338628411,798.0082397,0.8723582029,798.0082397,0.897865057,
797.0023193,0.5745848417,797.0023193,0.5742567778,797.0023193,0.4849260449,797.0023193,0.731136024,797.0023193,0.7916622758,797.0023193,0.8006480336,797.0023193,0.8313836455,797.0023193,0.8727612495,797.0023193,0.9010528922,
795.9959717,0.5727015734,795.9959717,0.5725666285,795.9959717,0.4869512022,795.9959717,0.7297278643,795.9959717,0.7866402268,795.9959717,0.7972586751,795.9959717,0.8421242237,795.9959717,0.8715483546,795.9959717,0.8960823417,
794.9893188,0.5719720125,794.9893188,0.5726932287,794.9893188,0.4858192503,794.9893188,0.7300904393,794.9893188,0.7918027043,794.9893188,0.8005439043,794.9893188,0.8393511176,794.9893188,0.8733594418,794.9893188,0.8980628252,
794.0169067,0.5759028792,794.0169067,0.5766583085,794.0169067,0.4864321649,794.0169067,0.7393032312,794.0169067,0.7917577624,794.0169067,0.8022090197,794.0169067,0.8395771384,794.0169067,0.8764149547,794.0169067,0.8971135616,
793.0094604,0.5766857862,793.0094604,0.5722776055,793.0094604,0.4855608046,793.0094604,0.7370820642,793.0094604,0.7899529338,793.0094604,0.7955536842,793.0094604,0.8392211199,793.0094604,0.8781917691,793.0094604,0.9090064168,
792.0015259,0.5775592923,792.0015259,0.5717923045,792.0015259,0.4887877703,792.0015259,0.7377402186,792.0015259,0.7922911644,792.0015259,0.7969701886,792.0015259,0.8389538527,792.0015259,0.8757898211,792.0015259,0.8989453316,
