60%-3,,80%-3,,100%-3,,
²¨³¤ (nm),Abs,²¨³¤ (nm),Abs,²¨³¤ (nm),Abs,
799.9841309,0.4941790104,799.9841309,0.6907513142,799.9841309,0.7303679585,
799.0136719,0.4908279479,799.0136719,0.6890169382,799.0136719,0.7277770042,
798.0082397,0.4929548204,798.0082397,0.6862644553,798.0082397,0.7293894887,
797.0023193,0.4933046103,797.0023193,0.6883919239,797.0023193,0.7307747602,
795.9959717,0.4959425032,795.9959717,0.6945070624,795.9959717,0.7312504649,
794.9893188,0.4970073998,794.9893188,0.6929540634,794.9893188,0.7346585393,
794.0169067,0.4934052229,794.0169067,0.6921963692,794.0169067,0.7312759757,
793.0094604,0.4947713017,793.0094604,0.69105196,793.0094604,0.7334173322,
792.0015259,0.4974928498,792.0015259,0.6925376654,792.0015259,0.7378939986,
790.9932861,0.4963747561,790.9932861,0.6936045885,790.9932861,0.7343028188,
789.9846191,0.4961828887,789.9846191,0.6927019358,789.9846191,0.7364397645,
789.0103149,0.4964933097,789.0103149,0.6935504079,789.0103149,0.734356761,
788.0007935,0.4995004237,788.0007935,0.6954674125,788.0007935,0.7386561036,
786.9909668,0.4989032447,786.9909668,0.696736455,786.9909668,0.7375931144,
786.015564,0.4994347394,786.015564,0.6957455277,786.015564,0.7389595509,
785.0048828,0.4987726808,785.0048828,0.6967650652,785.0048828,0.7360066175,
783.9937744,0.4992293417,783.9937744,0.6950705051,783.9937744,0.7368782163,
783.0172729,0.5015084743,783.0172729,0.7000238299,783.0172729,0.7439251542,
782.0053711,0.5047634244,782.0053711,0.6985262036,782.0053711,0.737218976,
780.9931641,0.5031730533,780.9931641,0.7019101977,780.9931641,0.7402932644,
780.0154419,0.5020102859,780.0154419,0.704627037,780.0154419,0.7395712733,
779.0025024,0.5007535815,779.0025024,0.6976253986,779.0025024,0.7423670888,
777.9890747,0.5016463399,777.9890747,0.7050033212,777.9890747,0.7407495379,
777.0102539,0.5040848851,777.0102539,0.702157557,777.0102539,0.7439705133,
775.9960938,0.5036161542,775.9960938,0.7039892673,775.9960938,0.7430597544,
775.0164795,0.5034344792,775.0164795,0.7040534616,775.0164795,0.7474463582,
774.0015259,0.5042907596,774.0015259,0.705307126,774.0015259,0.7452771664,
772.9862061,0.5053369403,772.9862061,0.7051858306,772.9862061,0.7475198507,
772.0054932,0.50500983,772.0054932,0.7092512846,772.0054932,0.747787714,
770.9893799,0.5049082637,770.9893799,0.7074136734,770.9893799,0.747831881,
770.0079346,0.5096007586,770.0079346,0.70998317,770.0079346,0.7471187711,
768.9910278,0.5100267529,768.9910278,0.7089240551,768.9910278,0.7462347746,
768.0088501,0.5099690557,768.0088501,0.7110913396,768.0088501,0.7529925108,
766.991272,0.5090985894,766.991272,0.7113348842,766.991272,0.7506690621,
766.0083008,0.5090357065,766.0083008,0.7121779323,766.0083008,0.7504419684,
764.9899292,0.5103787184,764.9899292,0.714202106,764.9899292,0.7543753982,
764.0062866,0.5120273829,764.0062866,0.7142249942,764.0062866,0.7559112906,
762.9870605,0.511721611,762.9870605,0.7142983079,762.9870605,0.7531396151,
762.0026855,0.5121133924,762.0026855,0.7188742161,762.0026855,0.7567903399,
760.9827881,0.5113737583,760.9827881,0.7166656852,760.9827881,0.7555621862,
759.9976196,0.5136418343,759.9976196,0.7196364999,759.9976196,0.7604795694,
759.012146,0.5126511455,759.012146,0.7188927531,759.012146,0.7572594285,
757.9910889,0.5124166608,757.9910889,0.7186256647,757.9910889,0.7613710761,
757.0048218,0.5141421556,757.0048218,0.7192701101,757.0048218,0.7607883215,
755.9830933,0.5140683055,755.9830933,0.7200543284,755.9830933,0.7607708573,
754.9960938,0.5163749456,754.9960938,0.7220512629,754.9960938,0.7593161464,
754.0087891,0.5170725584,754.0087891,0.7230501771,754.0087891,0.7615079284,
752.9859619,0.5154748559,752.9859619,0.7218667865,752.9859619,0.7674187422,
751.9978638,0.5153550506,751.9978638,0.7259104252,751.9978638,0.7668896914,
751.0095825,0.519123435,751.0095825,0.7242555022,751.0095825,0.7632032633,
749.9854736,0.5222733021,749.9854736,0.7293455005,749.9854736,0.7695896626,
748.9963989,0.5178712606,748.9963989,0.7307715416,748.9963989,0.7651830316,
748.006958,0.5217556357,748.006958,0.7294681668,748.006958,0.7720893025,
747.0170898,0.5212762356,747.0170898,0.7292562723,747.0170898,0.7741250396,
745.9916382,0.5218949318,745.9916382,0.7333135009,745.9916382,0.7697912455,
745.0010986,0.5217032433,745.0010986,0.7356905937,745.0010986,0.7721256018,
744.0101929,0.5257987976,744.0101929,0.7335499525,744.0101929,0.7749923468,
742.9835815,0.5244225264,742.9835815,0.7347307205,742.9835815,0.7775294781,
741.9920044,0.5257043242,741.9920044,0.7363801599,741.9920044,0.7764561176,
741,0.5255461931,741,0.7388865352,741,0.7804154754,
740.0078125,0.527657032,740.0078125,0.7416014075,740.0078125,0.7784895897,
739.0151367,0.531047821,739.0151367,0.7399702072,739.0151367,0.7844468951,
737.9866943,0.5311317444,737.9866943,0.742135942,737.9866943,0.7822715044,
736.9933472,0.5309214592,736.9933472,0.7455009222,736.9933472,0.7858147025,
735.9996338,0.5318293571,735.9996338,0.747261405,735.9996338,0.7873107791,
735.0056152,0.5332624912,735.0056152,0.7471987605,735.0056152,0.7858935595,
734.0111694,0.5331046581,734.0111694,0.7490785122,734.0111694,0.7899506092,
733.0164185,0.5354378223,733.0164185,0.7508799434,733.0164185,0.7938832641,
731.9858398,0.5351824164,731.9858398,0.7516196966,731.9858398,0.7942258716,
730.9904175,0.5375394225,730.9904175,0.7563164234,730.9904175,0.7954126596,
729.9946289,0.5381376147,729.9946289,0.7557367086,729.9946289,0.7992788553,
728.9984741,0.5397498012,728.9984741,0.7585666776,728.9984741,0.7988833189,
728.0020142,0.5419353843,728.0020142,0.7590879798,728.0020142,0.801956594,
727.005188,0.5431081057,727.005188,0.7623227835,727.005188,0.8027132154,
726.0079956,0.5423715711,726.0079956,0.7636734843,726.0079956,0.8047616482,
725.0105591,0.5458472967,725.0105591,0.7677549124,725.0105591,0.8085477352,
724.0126953,0.5463047028,724.0126953,0.7680033445,724.0126953,0.8111408353,
723.0145264,0.5473428965,723.0145264,0.7707431912,723.0145264,0.8144848943,
722.0159912,0.5507472754,722.0159912,0.774512589,722.0159912,0.8167387843,
721.0171509,0.5521656275,721.0171509,0.7796534896,721.0171509,0.8196965456,
719.9821777,0.5543859005,719.9821777,0.7811602354,719.9821777,0.8254396319,
718.982605,0.5533659458,718.982605,0.7823218703,718.982605,0.8244986534,
717.9827881,0.556795001,717.9827881,0.7870836854,717.9827881,0.8282181025,
716.9824829,0.5595378876,716.9824829,0.7881782651,716.9824829,0.8330457211,
716.0176392,0.5612638593,716.0176392,0.7923275232,716.0176392,0.8366834521,
715.0167236,0.5626087785,715.0167236,0.7980877757,715.0167236,0.8385626674,
714.0155029,0.5665468574,714.0155029,0.8009710908,714.0155029,0.8431797624,
713.013916,0.5675408244,713.013916,0.804041326,713.013916,0.8457264304,
712.0120239,0.5708043575,712.0120239,0.80990237,712.0120239,0.8501240015,
711.0097656,0.5711322427,711.0097656,0.8096878529,711.0097656,0.8541480303,
710.0072021,0.5748394132,710.0072021,0.8163294196,710.0072021,0.8591445088,
709.0042114,0.5770164728,709.0042114,0.8189272285,709.0042114,0.863756597,
708.0009766,0.5798851848,708.0009766,0.8249025345,708.0009766,0.8698738813,
706.9973755,0.5812319517,706.9973755,0.8312417865,706.9973755,0.8798066974,
705.9934082,0.5854593515,705.9934082,0.8358209133,705.9934082,0.879789114,
704.9892578,0.5884554982,704.9892578,0.839128077,704.9892578,0.8869591951,
703.9846802,0.5910882354,703.9846802,0.844838798,703.9846802,0.8912314773,
703.015564,0.5976495147,703.015564,0.8497357965,703.015564,0.8974673748,
702.0103149,0.6003249288,702.0103149,0.85469383,702.0103149,0.9057705402,
701.0047607,0.6045165658,701.0047607,0.8638752103,701.0047607,0.9118528962,
699.9989014,0.6077847481,699.9989014,0.8718304634,699.9989014,0.9204654098,
698.9926147,0.6118198037,698.9926147,0.881505549,698.9926147,0.9312877059,
697.9860229,0.6163478494,697.9860229,0.8870930672,697.9860229,0.9395305514,
697.0150757,0.6219096184,697.0150757,0.8982269168,697.0150757,0.945313096,
696.0079346,0.6281669736,696.0079346,0.90399611,696.0079346,0.9561021328,
695.0003662,0.6309605241,695.0003662,0.9125281572,695.0003662,0.9627451301,
693.9924927,0.6377694011,693.9924927,0.9204756021,693.9924927,0.9754703045,
692.984314,0.6412876248,692.984314,0.9320662022,692.984314,0.9830030203,
692.0118408,0.6484391689,692.0118408,0.9395358562,692.0118408,0.9959517717,
691.0029907,0.649727881,691.0029907,0.9463570714,691.0029907,1.00225687,
689.9937744,0.6551169753,689.9937744,0.9562932253,689.9937744,1.015268087,
688.984314,0.6565927267,688.984314,0.961381197,688.984314,1.025285244,
688.010498,0.6593787074,688.010498,0.9688650966,688.010498,1.026551962,
687.0004272,0.6668646336,687.0004272,0.9737746716,687.0004272,1.032871366,
685.9899292,0.6669411659,685.9899292,0.9825518727,685.9899292,1.044583201,
685.0152588,0.6683875918,685.0152588,0.9856046438,685.0152588,1.04254961,
684.0041504,0.668245554,684.0041504,0.9816505313,684.0041504,1.047382355,
682.9927979,0.6684268713,682.9927979,0.991451025,682.9927979,1.047508836,
682.0171509,0.6660497785,682.0171509,0.9855595827,682.0171509,1.047659874,
681.005127,0.6639012694,681.005127,0.9833581448,681.005127,1.047827244,
679.9927979,0.66476053,679.9927979,0.9809481502,679.9927979,1.041641593,
679.0162354,0.6604555845,679.0162354,0.9774298072,679.0162354,1.036223888,
678.0032349,0.6580581069,678.0032349,0.9793478847,678.0032349,1.034997702,
676.9898682,0.6539359689,676.9898682,0.9685946107,676.9898682,1.033107758,
676.0125122,0.6503545642,676.0125122,0.9641339183,676.0125122,1.024080157,
674.9985962,0.6479242444,674.9985962,0.9599476457,674.9985962,1.022980332,
673.984314,0.6443803906,673.984314,0.9508072734,673.984314,1.014767408,
673.0059204,0.6411809325,673.0059204,0.9492995143,673.0059204,1.018553376,
671.9909668,0.6393961906,671.9909668,0.9470226765,671.9909668,1.0089221,
671.012146,0.6380841136,671.012146,0.9456562996,671.012146,1.004295707,
669.996582,0.6347323656,669.996582,0.9395914078,669.996582,0.9978975654,
669.0170288,0.6312818527,669.0170288,0.9323782921,669.0170288,0.9970261455,
668.0009155,0.6285710335,668.0009155,0.929017067,668.0009155,0.9872369766,
666.984436,0.625624299,666.984436,0.9247997403,666.984436,0.9801131487,
666.0039673,0.6234529018,666.0039673,0.922416091,666.0039673,0.9807423353,
664.9869385,0.6235249639,664.9869385,0.9174339175,664.9869385,0.9740989804,
664.0059204,0.618696332,664.0059204,0.9122879505,664.0059204,0.9724063873,
662.9882202,0.6170032024,662.9882202,0.9101851583,662.9882202,0.9716938138,
662.0065308,0.6164767146,662.0065308,0.9099590778,662.0065308,0.9648185968,
660.9882813,0.6147776842,660.9882813,0.9065536261,660.9882813,0.964956522,
660.0060425,0.6131957769,660.0060425,0.9051882625,660.0060425,0.9637791514,
658.9871216,0.6139422059,658.9871216,0.9037905335,658.9871216,0.9641926289,
658.0042725,0.6134289503,658.0042725,0.9035384655,658.0042725,0.9662059546,
656.9848022,0.6152876019,656.9848022,0.9061938524,656.9848022,0.960926652,
656.0013428,0.6133304834,656.0013428,0.9033331275,656.0013428,0.9638246298,
655.0177002,0.6133055687,655.0177002,0.9086045623,655.0177002,0.9619520903,
653.9973145,0.6140842438,653.9973145,0.9105936885,653.9973145,0.9621037245,
653.0129395,0.6161655784,653.0129395,0.9093176126,653.0129395,0.9666451812,
651.9919434,0.617837429,651.9919434,0.9105580449,651.9919434,0.9671320915,
651.0071411,0.6165291071,651.0071411,0.9127428532,651.0071411,0.963778615,
649.9854736,0.6181957126,649.9854736,0.9149728417,649.9854736,0.9701831341,
649,0.6201822758,649,0.9152383804,649,0.9699679613,
648.0142212,0.6208198667,648.0142212,0.9149202704,648.0142212,0.9714010358,
646.9917603,0.6240304708,646.9917603,0.9204024673,646.9917603,0.9806880355,
646.0054932,0.624183476,646.0054932,0.9242501855,646.0054932,0.9789897799,
644.9822998,0.6242073178,644.9822998,0.9229957461,644.9822998,0.9797698855,
643.9954224,0.6270774603,643.9954224,0.9270516038,643.9954224,0.9813913107,
643.0082397,0.6280366778,643.0082397,0.9303213358,643.0082397,0.9880951643,
641.9841919,0.6280682087,641.9841919,0.9310743809,641.9841919,0.9887548089,
640.99646,0.6287753582,640.99646,0.9333536625,640.99646,0.9925138354,
640.0084839,0.6304626465,640.0084839,0.9384750724,640.0084839,0.9921637774,
638.9835205,0.6315627694,638.9835205,0.9359602928,638.9835205,0.9934577346,
637.994873,0.6317819357,637.994873,0.9360171556,637.994873,0.999225378,
637.0060425,0.6336542368,637.0060425,0.9403681159,637.0060425,0.997199595,
636.0169067,0.6322850585,636.0169067,0.941560626,636.0169067,1.001824856,
634.9907837,0.631006062,634.9907837,0.9370644689,634.9907837,1.001192451,
634.0010986,0.6322633624,634.0010986,0.9428297877,634.0010986,1.002558589,
633.0111084,0.6324576139,633.0111084,0.9437059164,633.0111084,1.001874566,
631.9840698,0.6302494407,631.9840698,0.9409341216,631.9840698,0.9984542727,
630.9935913,0.6316702366,630.9935913,0.9368728995,630.9935913,0.9991396666,
630.0026855,0.6305063367,630.0026855,0.9375116229,630.0026855,0.9968339801,
629.0115967,0.6283720732,629.0115967,0.9372109175,629.0115967,1.000410199,
627.9834595,0.6284158826,627.9834595,0.9395425916,627.9834595,0.9992767572,
626.9917603,0.6287125349,626.9917603,0.9378426671,626.9917603,0.9968849421,
625.9998169,0.6280792952,625.9998169,0.9356223941,625.9998169,0.9940183759,
625.0075684,0.6265152693,625.0075684,0.9352241158,625.0075684,0.9951381087,
624.0151367,0.6262694001,624.0151367,0.9301537871,624.0151367,0.9949035645,
622.9855347,0.6256825328,622.9855347,0.9354894757,622.9855347,0.9931793213,
