7942 60%-1,,
²¨³¤ (nm),Abs,
503.0137634,1.340947151,
501.9913025,1.347812414,
501.0064392,1.346541286,
499.983551,1.353677154,
498.9983826,1.353521824,
498.0128784,1.362758517,
496.9894104,1.362832665,
496.00354,1.362506151,
495.0174866,1.36657846,
493.9933472,1.367381454,
493.006897,1.373150587,
491.9822693,1.374285221,
490.9953613,1.373521209,
490.0083618,1.376796126,
488.9831543,1.378219724,
487.9956055,1.377885461,
487.0079956,1.381001949,
485.9821167,1.385852218,
484.9940796,1.387966514,
484.0058289,1.387415767,
483.0173645,1.389305711,
481.9906311,1.395902514,
481.00177,1.401954293,
480.0126953,1.405960917,
478.9854126,1.410367012,
477.9959412,1.412982345,
477.0062866,1.421426296,
476.0164185,1.429319024,
474.9883728,1.436795592,
473.9980774,1.44602561,
473.0076904,1.445690155,
472.0170593,1.449047327,
470.9880981,1.459285378,
469.9971313,1.464281917,
469.0059204,1.46976459,
468.0144653,1.476585627,
466.9847717,1.479618907,
465.992981,1.483698964,
465.0009766,1.493283391,
464.0088196,1.496929646,
463.0164795,1.500567079,
461.9857788,1.508776784,
460.9930115,1.514537454,
460.0001221,1.518841386,
459.006958,1.532121181,
458.0136719,1.534023523,
456.9819031,1.543478131,
455.9883118,1.556276798,
454.9944458,1.565082073,
454.0003967,1.57771647,
453.006073,1.590579271,
452.0116882,1.604212046,
451.0171509,1.616491079,
449.9840393,1.635246515,
448.9890747,1.65105021,
447.9939575,1.661966562,
446.9985657,1.674500346,
446.0030212,1.682113767,
445.0073547,1.696080923,
444.0114441,1.69876647,
443.0153503,1.700319886,
442.0191345,1.705714583,
440.9843445,1.697660446,
439.9877625,1.705080032,
438.9909973,1.701587439,
437.993988,1.696404219,
436.9968262,1.689573765,
435.9995117,1.681655645,
435.0019836,1.669379473,
434.004303,1.662753701,
433.0064697,1.658809543,
432.0084229,1.649145126,
431.0102234,1.64055109,
430.0118408,1.635429263,
429.0132751,1.633360028,
428.0145264,1.627167106,
427.0155945,1.627009749,
426.0165405,1.623468041,
425.0173035,1.620643377,
424.0178223,1.617030144,
423.0181885,1.6160357,
422.0184937,1.614579082,
421.0185242,1.609839559,
420.0183716,1.609751225,
419.0181274,1.602878571,
418.0176697,1.600063324,
417.0169678,1.596570969,
416.0162048,1.591415763,
415.0152283,1.58759892,
414.0140991,1.58513999,
413.0127869,1.570637822,
412.011322,1.569083452,
411.009613,1.561796784,
410.0078735,1.559952736,
409.0058594,1.55145967,
408.0036926,1.548012972,
407.0014038,1.543382764,
405.9989319,1.535386443,
404.9962769,1.531679869,
403.9934387,1.528207541,
402.990509,1.528643727,
401.9873657,1.525728941,
400.9840393,1.525046229,
400.019165,1.524824619,
399.0155945,1.523508072,
398.0117798,1.52399683,
397.007843,1.527076364,
396.0037537,1.531288624,
394.9994812,1.529681325,
393.9950562,1.526176691,
392.9904785,1.532345414,
391.9857178,1.527015448,
390.9808044,1.530080438,
390.0144043,1.531830549,
389.0091858,1.532243371,
388.0038147,1.530207396,
386.998291,1.534851789,
385.9925842,1.533651948,
384.9867554,1.538633108,
383.9807129,1.535882711,
383.0132751,1.531525373,
382.006958,1.53587544,
381.0004883,1.532384872,
379.9938354,1.534335017,
378.9870911,1.532611728,
378.0188599,1.52540803,
377.0117798,1.526587605,
376.0045471,1.524824858,
374.9971619,1.520581841,
373.9896545,1.516863227,
372.9819336,1.524832487,
372.0128784,1.525248885,
371.0048828,1.519231677,
369.9967651,1.518805861,
368.9884644,1.522523999,
368.0187988,1.523580909,
367.0102234,1.521848202,
366.0014648,1.51979816,
364.9926147,1.523907423,
363.9835815,1.524098992,
363.0132141,1.525500655,
362.0039063,1.525140405,
360.9944153,1.528702736,
359.9848022,1.532664537,
359.0138855,1.532041669,
358.0039673,1.529143214,
356.993927,1.533744693,
355.9837341,1.537944436,
355.0122375,1.537424088,
354.00177,1.542547464,
352.9911804,1.547605991,
352.0192566,1.551313162,
351.0083313,1.549355745,
349.9973145,1.552011251,
348.9861145,1.559215188,
348.0137024,1.563097,
347.0022583,1.569342017,
345.9906006,1.569300056,
345.0177917,1.579394817,
344.0058594,1.583698392,
342.993866,1.581569791,
341.9816895,1.58094573,
341.0083313,1.583971381,
339.9958801,1.58417511,
338.9833069,1.593216658,
338.009552,1.591801047,
336.9967346,1.590206742,
335.9837341,1.593342543,
335.0095825,1.597832561,
333.9963074,1.593137503,
332.9829407,1.597163558,
332.0084229,1.598450541,
330.994751,1.596712947,
329.9809875,1.600219727,
329.0060425,1.603877068,
327.9920044,1.603913546,
327.0168152,1.605394721,
326.002533,1.610882998,
324.9880676,1.612837672,
324.0125122,1.618658781,
322.9978333,1.620196462,
321.9829712,1.624576688,
321.0070496,1.629489541,
319.9919739,1.632473111,
319.0157776,1.642076254,
318.0004578,1.646082878,
316.9849548,1.652894378,
316.0084229,1.662797689,
314.9927063,1.661833763,
314.0158997,1.671882272,
312.9999084,1.678421259,
311.9838257,1.684601903,
311.0066833,1.690852642,
309.9903259,1.698797703,
309.0129395,1.708578944,
307.9963684,1.710210085,
307.0187378,1.722691655,
306.0018921,1.72901547,
304.9848938,1.735781193,
304.006897,1.745641232,
302.9897156,1.751191616,
302.0115051,1.757703662,
300.9940491,1.766180992,
300.0155945,1.776306629,
298.9979248,1.786481023,
298.0192566,1.795548081,
297.0013123,1.800299764,
295.9832458,1.813919187,
295.0042419,1.825870275,
293.9859314,1.84271276,
293.0067139,1.858667016,
291.9881897,1.870724797,
291.0086975,1.879930139,
289.9899292,1.890801072,
289.0102539,1.899378419,
287.991272,1.919846535,
287.0113525,1.926771402,
285.992157,1.941519022,
285.0120239,1.951955318,
283.9925537,1.968265891,
283.012207,1.973370075,
281.9925232,1.984179735,
281.0119934,1.997240663,
279.9920959,2.003413439,
279.0112915,2.016932964,
277.9911804,2.024344444,
277.0102234,2.036680698,
275.9898376,2.042591572,
275.008606,2.052937984,
273.9880676,2.062007427,
273.0066528,2.076188326,
271.9858704,2.081896067,
271.0042419,2.099783421,
269.9832153,2.104435682,
269.0014343,2.111130476,
268.0194702,2.120410442,
266.9981689,2.12251997,
266.0160522,2.128928661,
264.9944763,2.143882036,
264.0121155,2.143173218,
262.9904175,2.148191214,
262.0078735,2.156789541,
260.9859009,2.161765575,
260.0031433,2.163339376,

