7120 60%-1,,7120 60%-2,,60%-3,,7120 80%-1,,7120 80%-2,,80%-3,,7120 100%-1,,7120 100%-2,,100%-3,
波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs
775.9960938,0.67590338,775.9960938,0.591976583,775.9960938,0.503616154,775.9960938,0.810152113,775.9960938,0.696872771,775.9960938,0.703989267,775.9960938,0.898401797,775.9960938,0.844413281,775.9960938,0.743059754
775.0164795,0.678859234,775.0164795,0.592223764,775.0164795,0.503434479,775.0164795,0.812422216,775.0164795,0.698098779,775.0164795,0.704053462,775.0164795,0.902844191,775.0164795,0.852116346,775.0164795,0.747446358
774.0015259,0.677612603,774.0015259,0.588138104,774.0015259,0.50429076,774.0015259,0.814968944,774.0015259,0.698070943,774.0015259,0.705307126,774.0015259,0.905832231,774.0015259,0.848085165,774.0015259,0.745277166
772.9862061,0.679397762,772.9862061,0.590860188,772.9862061,0.50533694,772.9862061,0.811344922,772.9862061,0.699326038,772.9862061,0.705185831,772.9862061,0.900124133,772.9862061,0.847459674,772.9862061,0.747519851
772.0054932,0.680295348,772.0054932,0.591829002,772.0054932,0.50500983,772.0054932,0.811608076,772.0054932,0.699399293,772.0054932,0.709251285,772.0054932,0.904041648,772.0054932,0.849631548,772.0054932,0.747787714
770.9893799,0.67953521,770.9893799,0.593076646,770.9893799,0.504908264,770.9893799,0.814157844,770.9893799,0.701414347,770.9893799,0.707413673,770.9893799,0.898082674,770.9893799,0.851974011,770.9893799,0.747831881
770.0079346,0.680851817,770.0079346,0.592348516,770.0079346,0.509600759,770.0079346,0.812385619,770.0079346,0.699498832,770.0079346,0.70998317,770.0079346,0.899050653,770.0079346,0.842095196,770.0079346,0.747118771
768.9910278,0.680512726,768.9910278,0.592054844,768.9910278,0.510026753,768.9910278,0.814926982,768.9910278,0.702454984,768.9910278,0.708924055,768.9910278,0.901632845,768.9910278,0.850146055,768.9910278,0.746234775
768.0088501,0.683107555,768.0088501,0.592298329,768.0088501,0.509969056,768.0088501,0.81866467,768.0088501,0.705191493,768.0088501,0.71109134,768.0088501,0.9039222,768.0088501,0.85103792,768.0088501,0.752992511
766.991272,0.68307364,766.991272,0.596466899,766.991272,0.509098589,766.991272,0.814458966,766.991272,0.704746962,766.991272,0.711334884,766.991272,0.902785122,766.991272,0.854738176,766.991272,0.750669062
766.0083008,0.686295629,766.0083008,0.596485734,766.0083008,0.509035707,766.0083008,0.817133963,766.0083008,0.706131637,766.0083008,0.712177932,766.0083008,0.909593403,766.0083008,0.856793225,766.0083008,0.750441968
764.9899292,0.684522629,764.9899292,0.598966479,764.9899292,0.510378718,764.9899292,0.818502426,764.9899292,0.705698431,764.9899292,0.714202106,764.9899292,0.905132592,764.9899292,0.858239532,764.9899292,0.754375398
764.0062866,0.687053859,764.0062866,0.597582758,764.0062866,0.512027383,764.0062866,0.819764376,764.0062866,0.706524849,764.0062866,0.714224994,764.0062866,0.909681559,764.0062866,0.85492295,764.0062866,0.755911291
762.9870605,0.68731451,762.9870605,0.602143765,762.9870605,0.511721611,762.9870605,0.821728528,762.9870605,0.70970726,762.9870605,0.714298308,762.9870605,0.903164089,762.9870605,0.859826505,762.9870605,0.753139615
762.0026855,0.687603355,762.0026855,0.60031122,762.0026855,0.512113392,762.0026855,0.822084308,762.0026855,0.708437681,762.0026855,0.718874216,762.0026855,0.909754872,762.0026855,0.858916104,762.0026855,0.75679034
760.9827881,0.687409401,760.9827881,0.600945532,760.9827881,0.511373758,760.9827881,0.825346649,760.9827881,0.709285259,760.9827881,0.716665685,760.9827881,0.915604711,760.9827881,0.858487248,760.9827881,0.755562186
759.9976196,0.689931393,759.9976196,0.603083134,759.9976196,0.513641834,759.9976196,0.826081157,759.9976196,0.708357811,759.9976196,0.7196365,759.9976196,0.913685739,759.9976196,0.859434187,759.9976196,0.760479569
759.012146,0.689672291,759.012146,0.603228807,759.012146,0.512651146,759.012146,0.828345895,759.012146,0.71004802,759.012146,0.718892753,759.012146,0.912282467,759.012146,0.861864924,759.012146,0.757259429
757.9910889,0.6902982,757.9910889,0.602507949,757.9910889,0.512416661,757.9910889,0.823879361,757.9910889,0.709787905,757.9910889,0.718625665,757.9910889,0.913310826,757.9910889,0.866618276,757.9910889,0.761371076
757.0048218,0.689971566,757.0048218,0.600251734,757.0048218,0.514142156,757.0048218,0.827199221,757.0048218,0.711614251,757.0048218,0.71927011,757.0048218,0.911105156,757.0048218,0.86223352,757.0048218,0.760788322
755.9830933,0.691430807,755.9830933,0.605264306,755.9830933,0.514068306,755.9830933,0.831318915,755.9830933,0.711473107,755.9830933,0.720054328,755.9830933,0.915847302,755.9830933,0.86434859,755.9830933,0.760770857
754.9960938,0.691078126,754.9960938,0.605900049,754.9960938,0.516374946,754.9960938,0.830547988,754.9960938,0.713806272,754.9960938,0.722051263,754.9960938,0.919943631,754.9960938,0.867306471,754.9960938,0.759316146
754.0087891,0.693569481,754.0087891,0.60564363,754.0087891,0.517072558,754.0087891,0.829935968,754.0087891,0.715222836,754.0087891,0.723050177,754.0087891,0.923523009,754.0087891,0.867239177,754.0087891,0.761507928
752.9859619,0.696307659,752.9859619,0.607276678,752.9859619,0.515474856,752.9859619,0.830982089,752.9859619,0.714177847,752.9859619,0.721866787,752.9859619,0.920703828,752.9859619,0.866357327,752.9859619,0.767418742
