60%-1,,60%-2,,60%-3,,80%-1,,80%-2,,80%-3,,100%-1,,100%-2,,100%-3,,
波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,
799.9841309,0.6624951363,799.9841309,0.6608089209,799.9841309,0.668253243,799.9841309,0.8329295516,799.9841309,0.8538486958,799.9841309,0.8433836102,799.9841309,1.077746272,799.9841309,1.075945973,799.9841309,1.066779017,
799.0136719,0.6581780314,799.0136719,0.6637251377,799.0136719,0.6681019664,799.0136719,0.8401535153,799.0136719,0.8565618992,799.0136719,0.8507725,799.0136719,1.075375915,799.0136719,1.061389208,799.0136719,1.076001763,
798.0082397,0.6602300406,798.0082397,0.6640175581,798.0082397,0.6693114042,798.0082397,0.8423335552,798.0082397,0.8556601405,798.0082397,0.8478988409,798.0082397,1.067550063,798.0082397,1.077925801,798.0082397,1.081505537,
797.0023193,0.6619004607,797.0023193,0.6630178094,797.0023193,0.6698390245,797.0023193,0.843646884,797.0023193,0.8591448665,797.0023193,0.8527770638,797.0023193,1.076755524,797.0023193,1.077416897,797.0023193,1.081095576,
795.9959717,0.666223526,795.9959717,0.6667260528,795.9959717,0.6731882095,795.9959717,0.8400546908,795.9959717,0.8620163202,795.9959717,0.8590271473,795.9959717,1.079782605,795.9959717,1.080834746,795.9959717,1.081686258,
794.9893188,0.6670010686,794.9893188,0.6673995852,794.9893188,0.6797507405,794.9893188,0.8437287807,794.9893188,0.8649289608,794.9893188,0.8546019793,794.9893188,1.079807758,794.9893188,1.075520158,794.9893188,1.093170643,
794.0169067,0.6690591574,794.0169067,0.6708556414,794.0169067,0.6731108427,794.0169067,0.8479042649,794.0169067,0.8626953959,794.0169067,0.8605009913,794.0169067,1.077300906,794.0169067,1.089160562,794.0169067,1.086960316,
793.0094604,0.6660280824,793.0094604,0.6746037006,793.0094604,0.677734375,793.0094604,0.8527194858,793.0094604,0.8626804352,793.0094604,0.8592594266,793.0094604,1.090795279,793.0094604,1.07749176,793.0094604,1.087153673,
792.0015259,0.6720573902,792.0015259,0.6748431325,792.0015259,0.6821943521,792.0015259,0.8489666581,792.0015259,0.8731657863,792.0015259,0.8656769991,792.0015259,1.093958735,792.0015259,1.091970682,792.0015259,1.100528836,
790.9932861,0.6718258262,790.9932861,0.672924459,790.9932861,0.6797378063,790.9932861,0.8516895175,790.9932861,0.872385025,790.9932861,0.8615476489,790.9932861,1.087510943,790.9932861,1.094895363,790.9932861,1.094076991,
789.9846191,0.6753628254,789.9846191,0.6782419682,789.9846191,0.6818024516,789.9846191,0.8523819447,789.9846191,0.8725671768,789.9846191,0.8687006235,789.9846191,1.09591639,789.9846191,1.094420791,789.9846191,1.092734218,
789.0103149,0.6763249636,789.0103149,0.6796283126,789.0103149,0.6841457486,789.0103149,0.859079361,789.0103149,0.874022305,789.0103149,0.8673270941,789.0103149,1.100967407,789.0103149,1.090802193,789.0103149,1.102019191,
788.0007935,0.6773338318,788.0007935,0.6798564196,788.0007935,0.6873506904,788.0007935,0.8568613529,788.0007935,0.8709748387,788.0007935,0.8765390515,788.0007935,1.104990125,788.0007935,1.097217679,788.0007935,1.097099662,
786.9909668,0.6811691523,786.9909668,0.681355536,786.9909668,0.6898298264,786.9909668,0.8592993617,786.9909668,0.8792607784,786.9909668,0.8708530068,786.9909668,1.104831696,786.9909668,1.0933038,786.9909668,1.107280493,
786.015564,0.6838034987,786.015564,0.6831830144,786.015564,0.688955605,786.015564,0.8601233363,786.015564,0.878474772,786.015564,0.8765438795,786.015564,1.095533848,786.015564,1.104197145,786.015564,1.102930188,
785.0048828,0.6826342344,785.0048828,0.6858513355,785.0048828,0.6925541759,785.0048828,0.8651033044,785.0048828,0.8837442398,785.0048828,0.8807469606,785.0048828,1.10488224,785.0048828,1.103484511,785.0048828,1.10313797,
783.9937744,0.6866217852,783.9937744,0.6897002459,783.9937744,0.6947294474,783.9937744,0.8762210011,783.9937744,0.8892582059,783.9937744,0.8779078126,783.9937744,1.097693563,783.9937744,1.10888052,783.9937744,1.109208226,
783.0172729,0.6866475344,783.0172729,0.6888836026,783.0172729,0.6941439509,783.0172729,0.8680894971,783.0172729,0.8859296441,783.0172729,0.8834370375,783.0172729,1.116726398,783.0172729,1.104751348,783.0172729,1.10335207,
782.0053711,0.6888926625,782.0053711,0.691125989,782.0053711,0.6978028417,782.0053711,0.875546217,782.0053711,0.8871948719,782.0053711,0.8825905323,782.0053711,1.114077091,782.0053711,1.115544081,782.0053711,1.11726594,
